"","age","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degree","c_charge_desc","is_recid","prison_length"
"84",43,0,0,0,18,"(M2)","Driving License Suspended",0,703
"85",43,0,0,0,18,"(M2)","Driving License Suspended",0,460
"86",43,0,0,0,18,"(M2)","Driving License Suspended",0,92
"87",43,0,0,0,18,"(M2)","Driving License Suspended",0,344
"88",28,0,0,0,5,"(M1)","Battery",1,1947
"89",44,0,0,0,8,"(F3)","arrest case no charge",1,225
"90",44,0,0,0,8,"(F3)","arrest case no charge",1,1662
"91",44,0,0,0,8,"(F3)","arrest case no charge",1,937
"92",33,1,0,0,9,"(M1)","Aggravated Battery",1,453
"93",33,1,0,0,9,"(M1)","Aggravated Battery",1,989
"94",33,0,0,0,1,"(F3)","Grand Theft Dwell Property",0,1664
"95",30,0,0,0,2,"(F3)","Burglary Unoccupied Dwelling",1,1504
"96",62,0,0,0,3,"(M1)","DUI Property Damage/Injury",1,372
"97",62,0,0,0,3,"(M1)","DUI Property Damage/Injury",1,4470
"98",62,0,0,0,3,"(M1)","DUI Property Damage/Injury",1,788
"99",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,2986
"100",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,162
"101",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,682
"102",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,190
"103",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,702
"104",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,203
"105",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,944
"106",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,356
"107",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,22
"108",64,0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,470
"109",23,0,0,0,2,"(F2)","Robbery / No Weapon",0,2402
"110",31,0,0,0,8,"(F3)","arrest case no charge",1,313
"111",31,0,0,0,8,"(F3)","arrest case no charge",1,840
"112",42,0,0,0,3,"(F3)","arrest case no charge",0,526
"113",20,0,0,0,1,"(F3)","arrest case no charge",1,1847
"114",37,0,0,0,22,"(F3)","arrest case no charge",1,202
"115",61,0,0,0,20,"(M2)","Susp Drivers Lic 1st Offense",1,92
"116",61,0,0,0,20,"(M2)","Susp Drivers Lic 1st Offense",1,107
"117",61,0,0,0,20,"(M2)","Susp Drivers Lic 1st Offense",1,462
"118",39,0,1,1,8,"(F3)","Possession of Cocaine",1,1456
"119",39,0,1,1,8,"(F3)","Possession of Cocaine",1,1366
"120",39,0,1,1,8,"(F3)","Possession of Cocaine",1,291
"121",39,0,1,1,8,"(F3)","Possession of Cocaine",1,186
"122",33,0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,134
"123",33,0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,398
"124",33,0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,406
"125",33,0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,588
"126",49,0,0,0,0,"(F3)","Possession of Cocaine",1,292
"127",49,0,0,0,0,"(F3)","Possession of Cocaine",1,905
"128",49,0,0,0,0,"(F3)","Possession of Cocaine",1,5652
"129",49,0,0,0,0,"(F3)","Possession of Cocaine",1,1749
"130",49,0,0,0,0,"(F3)","Possession of Cocaine",1,50
"131",25,0,0,0,8,"(M1)","Battery",1,1688
"132",61,0,0,0,9,"(F3)","arrest case no charge",0,115
"133",61,0,0,0,9,"(F3)","arrest case no charge",0,2226
"134",61,0,0,0,9,"(F3)","arrest case no charge",0,290
"135",61,0,0,0,9,"(F3)","arrest case no charge",0,1290
"136",61,0,0,0,9,"(F3)","arrest case no charge",0,296
"137",61,0,0,0,9,"(F3)","arrest case no charge",0,531
"138",61,0,0,0,9,"(F3)","arrest case no charge",0,1371
"139",61,0,0,0,9,"(F3)","arrest case no charge",0,187
"140",61,0,0,0,9,"(F3)","arrest case no charge",0,235
"141",44,0,0,0,0,"(F3)","Grand Theft (Motor Vehicle)",0,315
"142",44,0,0,0,0,"(F3)","Grand Theft (Motor Vehicle)",0,285
"143",44,0,0,0,0,"(F3)","Grand Theft (Motor Vehicle)",0,763
"144",40,0,0,0,3,"(F1)","Robbery W/Firearm",0,1721
"145",30,0,0,0,5,"(M2)","Burglary Unoccupied Dwelling",0,260
"146",23,1,0,1,10,"(F3)","Grand Theft (Motor Vehicle)",0,1534
"147",23,1,0,1,10,"(F3)","Grand Theft (Motor Vehicle)",0,589
"148",52,0,0,0,5,"(F3)","Grand Theft in the 3rd Degree",1,1074
"149",33,0,0,0,21,"(M1)","Viol Pretrial Release Dom Viol",1,530
"150",33,0,0,0,21,"(M1)","Viol Pretrial Release Dom Viol",1,769
"151",38,0,0,0,15,"(F3)","Possession of Cocaine",0,264
"152",38,0,0,0,15,"(F3)","Possession of Cocaine",0,413
"153",38,0,0,0,15,"(F3)","Possession of Cocaine",0,393
"154",25,0,0,0,8,"(F2)","Deliver Cocaine",1,1611
"155",36,0,0,0,1,"(F3)","arrest case no charge",0,0
"156",48,1,0,0,23,"(F3)","Felony Petit Theft",1,1776
"157",48,1,0,0,23,"(F3)","Felony Petit Theft",1,1366
"158",48,1,0,0,23,"(F3)","Felony Petit Theft",1,280
"159",48,1,0,0,23,"(F3)","Felony Petit Theft",1,539
"160",48,1,0,0,23,"(F3)","Felony Petit Theft",1,864
"161",48,1,0,0,23,"(F3)","Felony Petit Theft",1,2004
"162",23,0,0,0,0,"(F2)","Burglary Unoccupied Dwelling",0,617
"164",40,0,0,0,7,"(F3)","Grand Theft in the 3rd Degree",0,2591
"165",26,0,0,0,0,"(M1)","Battery",0,482
"166",41,0,0,0,10,"(F3)","arrest case no charge",0,280
"167",41,0,0,0,10,"(F3)","arrest case no charge",0,1578
"168",24,0,0,0,7,"(F2)","arrest case no charge",1,291
"169",62,0,0,0,22,"(F3)","Possession of Cocaine",1,174
"170",62,0,0,0,22,"(F3)","Possession of Cocaine",1,105
"171",62,0,0,0,22,"(F3)","Possession of Cocaine",1,15
"172",62,0,0,0,22,"(F3)","Possession of Cocaine",1,277
"173",62,0,0,0,22,"(F3)","Possession of Cocaine",1,212
"174",62,0,0,0,22,"(F3)","Possession of Cocaine",1,329
"175",62,0,0,0,22,"(F3)","Possession of Cocaine",1,49
"176",62,0,0,0,22,"(F3)","Possession of Cocaine",1,93
"177",62,0,0,0,22,"(F3)","Possession of Cocaine",1,327
"178",32,0,0,0,3,"(M1)","Resist/Obstruct W/O Violence",0,1236
"179",33,0,0,0,4,"(M1)","Battery",1,468
"180",26,0,0,0,1,"(F3)","Felony Battery (Dom Strang)",0,558
"181",32,0,0,1,8,"(F3)","Uttering a Forged Instrument",0,2284
"182",37,0,0,0,1,"(M1)","Battery",0,2284
"183",47,4,0,0,22,"(F3)","Possession of Cocaine",1,784
"184",47,4,0,0,22,"(F3)","Possession of Cocaine",1,68
"185",47,4,0,0,22,"(F3)","Possession of Cocaine",1,1015
"186",47,4,0,0,22,"(F3)","Possession of Cocaine",1,174
"187",47,4,0,0,22,"(F3)","Possession of Cocaine",1,1172
"188",47,4,0,0,22,"(F3)","Possession of Cocaine",1,213
"189",47,4,0,0,22,"(F3)","Possession of Cocaine",1,3401
"190",47,4,0,0,22,"(F3)","Possession of Cocaine",1,190
"191",47,4,0,0,22,"(F3)","Possession of Cocaine",1,201
"192",47,4,0,0,22,"(F3)","Possession of Cocaine",1,241
"193",47,4,0,0,22,"(F3)","Possession of Cocaine",1,142
"194",47,4,0,0,22,"(F3)","Possession of Cocaine",1,1854
"195",39,0,0,0,0,"(F3)","Possession Of Methamphetamine",0,460
"196",44,0,0,0,11,"(F3)","Felony Battery w/Prior Convict",1,291
"197",31,0,0,0,1,"(M2)","Unlawful Alter Of Tag",0,376
"198",27,0,0,0,5,"(F3)","arrest case no charge",1,509
"199",27,0,0,0,5,"(F3)","arrest case no charge",1,242
"200",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,582
"201",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,260
"202",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,365
"203",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,141
"204",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,676
"205",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,456
"206",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,78
"207",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,705
"208",61,0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,243
"209",29,0,0,0,6,"(F3)","arrest case no charge",1,96
"210",47,0,0,0,4,"(F3)","Felony Petit Theft",0,480
"211",47,0,0,0,4,"(F3)","Felony Petit Theft",0,709
"212",47,0,0,0,4,"(F3)","Felony Petit Theft",0,647
"213",47,0,0,0,4,"(F3)","Felony Petit Theft",0,279
"214",47,0,0,0,4,"(F3)","Felony Petit Theft",0,82
"215",47,0,0,0,4,"(F3)","Felony Petit Theft",0,1805
"216",36,0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,224
"217",36,0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,185
"218",46,1,0,0,10,"(F3)","Possession of Cocaine",0,139
"219",46,1,0,0,10,"(F3)","Possession of Cocaine",0,1321
"220",46,1,0,0,10,"(F3)","Possession of Cocaine",0,284
"221",46,1,0,0,10,"(F3)","Possession of Cocaine",0,1928
"222",46,1,0,0,10,"(F3)","Possession of Cocaine",0,527
"223",24,0,0,0,2,"(F3)","arrest case no charge",0,858
"224",24,0,0,0,2,"(F3)","arrest case no charge",0,704
"225",24,0,0,0,2,"(F3)","arrest case no charge",0,208
"226",24,0,0,0,2,"(F3)","arrest case no charge",0,1749
"227",39,1,1,0,16,"(F2)","Deliver Cocaine",0,858
"228",39,1,1,0,16,"(F2)","Deliver Cocaine",0,704
"229",39,1,1,0,16,"(F2)","Deliver Cocaine",0,208
"230",39,1,1,0,16,"(F2)","Deliver Cocaine",0,1749
"231",38,0,0,0,15,"(F3)","Drivg While Lic Suspd/Revk/Can",1,1074
"232",51,0,0,0,5,"(M2)","Driving License Suspended",0,1282
"233",25,1,2,0,9,"(F3)","arrest case no charge",1,182
"234",32,1,0,0,2,"(M1)","arrest case no charge",1,919
"235",57,0,0,0,14,"(F3)","arrest case no charge",1,273
"236",57,0,0,0,14,"(F3)","arrest case no charge",1,374
"237",57,0,0,0,14,"(F3)","arrest case no charge",1,55
"238",57,0,0,0,14,"(F3)","arrest case no charge",1,565
"239",57,0,0,0,14,"(F3)","arrest case no charge",1,295
"240",20,0,0,1,0,"(F2)","Burglary Unoccupied Dwelling",0,1924
"241",49,1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,371
"242",49,1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,826
"243",49,1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,302
"244",49,1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,179
"245",49,1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,155
"246",34,0,0,0,0,"(F3)","False Imprisonment",0,2129
"247",23,1,0,4,2,"(F3)","Poss3,4 Methylenedioxymethcath",0,1912
"248",46,0,0,0,8,"(F3)","arrest case no charge",1,474
"249",46,0,0,0,8,"(F3)","arrest case no charge",1,4013
"250",46,0,0,0,8,"(F3)","arrest case no charge",1,1022
"251",46,0,0,0,8,"(F3)","arrest case no charge",1,213
"252",46,0,0,0,8,"(F3)","arrest case no charge",1,60
"253",54,0,0,0,9,"(M2)","arrest case no charge",0,212
"256",29,0,0,0,6,"(F7)","arrest case no charge",0,2148
"257",29,0,0,0,6,"(F7)","arrest case no charge",0,166
"258",29,0,0,0,6,"(F7)","arrest case no charge",0,920
"259",29,0,0,1,20,"(F2)","arrest case no charge",0,887
"260",29,0,0,1,20,"(F2)","arrest case no charge",0,1562
"261",42,0,0,0,1,"(F1)","Trafficking In Methamphetamine",0,2954
"262",35,0,0,0,0,"(F3)","Burglary Conveyance Unoccup",0,844
"263",37,1,0,1,12,"(M2)","Disorderly Intoxication",1,784
"264",37,1,0,1,12,"(M2)","Disorderly Intoxication",1,874
"265",37,1,0,1,12,"(M2)","Disorderly Intoxication",1,385
"266",37,1,0,1,12,"(M2)","Disorderly Intoxication",1,348
"267",35,0,0,0,10,"(F3)","arrest case no charge",1,256
"268",35,0,0,0,10,"(F3)","arrest case no charge",1,149
"269",35,0,0,0,10,"(F3)","arrest case no charge",1,582
"271",27,0,0,0,5,"(F2)","Burglary Dwelling Occupied",1,143
"272",27,0,0,0,5,"(F2)","Burglary Dwelling Occupied",1,361
"273",26,0,1,0,8,"(F2)","Attempted Robbery Firearm",0,1569
"274",30,2,0,0,20,"(F3)","Felony Battery w/Prior Convict",1,64
"275",30,2,0,0,20,"(F3)","Felony Battery w/Prior Convict",1,621
"276",31,3,0,0,6,"(F3)","Resist Officer w/Violence",1,841
"277",31,3,0,0,6,"(F3)","Resist Officer w/Violence",1,378
"278",37,1,0,0,11,"(F3)","arrest case no charge",0,493
"279",37,1,0,0,11,"(F3)","arrest case no charge",0,754
"280",37,1,0,0,11,"(F3)","arrest case no charge",0,373
"281",37,1,0,0,11,"(F3)","arrest case no charge",0,1103
"282",37,1,0,0,11,"(F3)","arrest case no charge",0,89
"283",32,0,0,0,4,"(F2)","Poss Cocaine/Intent To Del/Sel",0,1655
"284",32,0,0,0,4,"(F2)","Poss Cocaine/Intent To Del/Sel",0,1688
"285",61,0,0,0,15,"(F3)","Felony Petit Theft",1,965
"287",30,0,0,0,7,"(F3)","arrest case no charge",0,1367
"288",30,0,0,0,7,"(F3)","arrest case no charge",0,689
"289",55,0,0,0,11,"(F3)","Resist Officer w/Violence",0,275
"290",55,0,0,0,11,"(F3)","Resist Officer w/Violence",0,633
"291",55,0,0,0,11,"(F3)","Resist Officer w/Violence",0,375
"292",55,0,0,0,11,"(F3)","Resist Officer w/Violence",0,222
"293",55,0,0,0,11,"(F3)","Resist Officer w/Violence",0,44
"294",51,0,0,0,22,"(F7)","arrest case no charge",1,1449
"295",51,0,0,0,22,"(F7)","arrest case no charge",1,269
"296",51,0,0,0,22,"(F7)","arrest case no charge",1,932
"297",51,0,0,0,22,"(F7)","arrest case no charge",1,606
"298",51,0,0,0,22,"(F7)","arrest case no charge",1,172
"299",51,0,0,0,22,"(F7)","arrest case no charge",1,194
"300",51,0,0,0,22,"(F7)","arrest case no charge",1,242
"301",51,0,0,0,22,"(F7)","arrest case no charge",1,104
"302",51,0,0,0,22,"(F7)","arrest case no charge",1,299
"303",51,0,0,0,22,"(F7)","arrest case no charge",1,720
"304",51,0,0,0,22,"(F7)","arrest case no charge",1,1243
"305",51,0,0,0,22,"(F7)","arrest case no charge",1,356
"306",27,0,0,1,1,"(F3)","arrest case no charge",1,1449
"307",27,0,0,1,1,"(F3)","arrest case no charge",1,269
"308",27,0,0,1,1,"(F3)","arrest case no charge",1,932
"309",27,0,0,1,1,"(F3)","arrest case no charge",1,606
"310",27,0,0,1,1,"(F3)","arrest case no charge",1,172
"311",27,0,0,1,1,"(F3)","arrest case no charge",1,194
"312",27,0,0,1,1,"(F3)","arrest case no charge",1,242
"313",27,0,0,1,1,"(F3)","arrest case no charge",1,104
"314",27,0,0,1,1,"(F3)","arrest case no charge",1,299
"315",27,0,0,1,1,"(F3)","arrest case no charge",1,720
"316",27,0,0,1,1,"(F3)","arrest case no charge",1,1243
"317",27,0,0,1,1,"(F3)","arrest case no charge",1,356
"318",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,1449
"319",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,269
"320",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,932
"321",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,606
"322",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,172
"323",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,194
"324",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,242
"325",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,104
"326",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,299
"327",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,720
"328",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,1243
"329",48,0,0,0,3,"(F3)","Grand Theft in the 3rd Degree",1,356
"330",29,0,0,0,1,"(F3)","Burglary Conveyance Unoccup",0,181
"331",31,0,0,1,11,"(F3)","Grand Theft (Motor Vehicle)",1,828
"332",40,0,0,0,0,"(F3)","Possession of Cocaine",1,675
"333",40,0,0,0,0,"(F3)","Possession of Cocaine",1,1449
"334",40,0,0,0,0,"(F3)","Possession of Cocaine",1,249
"335",40,0,0,0,0,"(F3)","Possession of Cocaine",1,461
"336",44,0,0,0,5,"(F7)","arrest case no charge",0,1500
"337",31,0,1,0,12,"(F2)","Aggravated Battery",1,768
"339",64,0,0,0,0,"(F3)","Sex Offender Fail Comply W/Law",0,199
"340",34,0,0,0,6,"(F3)","Possession of Cocaine",1,122
"341",34,0,0,0,6,"(F3)","Possession of Cocaine",1,1555
"342",34,0,0,0,6,"(F3)","Possession of Cocaine",1,356
"343",34,0,0,0,6,"(F3)","Possession of Cocaine",1,228
"344",34,0,0,0,6,"(F3)","Possession of Cocaine",1,275
"345",34,0,0,0,6,"(F3)","Possession of Cocaine",1,831
"346",35,0,0,0,4,"(F3)","Possession of Cocaine",1,2809
"347",36,1,0,0,7,"(F2)","Burglary Unoccupied Dwelling",0,322
"348",36,1,0,0,7,"(F2)","Burglary Unoccupied Dwelling",0,1634
"349",28,0,0,0,8,"(F2)","Deliver Cocaine",1,311
"350",30,0,0,0,1,"(F3)","Possession Of Alprazolam",1,715
"351",32,0,0,0,13,"(M1)","Possess Cannabis/20 Grams Or Less",1,85
"352",33,0,1,0,7,"(F3)","Trespass Property w/Dang Weap",1,721
"353",33,0,1,0,7,"(F3)","Trespass Property w/Dang Weap",1,1010
"354",31,0,0,1,5,"(F1)","arrest case no charge",1,2148
"355",31,0,0,1,5,"(F1)","arrest case no charge",1,504
"356",31,0,0,1,5,"(F1)","arrest case no charge",1,980
"357",30,0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,140
"358",30,0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,262
"359",30,0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,284
"360",30,0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,1471
"361",41,0,0,0,5,"(M1)","arrest case no charge",0,0
"362",41,0,0,0,5,"(M1)","arrest case no charge",0,1561
"363",48,0,0,0,9,"(F3)","arrest case no charge",1,260
"364",48,0,0,0,9,"(F3)","arrest case no charge",1,43
"365",22,0,0,0,11,"(F3)","Grand Theft in the 3rd Degree",0,180
"366",22,0,0,0,11,"(F3)","Grand Theft in the 3rd Degree",0,1541
"367",21,1,0,2,1,"(F2)","arrest case no charge",1,250
"368",44,0,0,0,3,"(F2)","arrest case no charge",0,648
"369",28,0,0,0,4,"(F2)","arrest case no charge",1,1443
"370",30,2,0,0,26,"(F3)","Agg Fleeing and Eluding",0,796
"371",30,2,0,0,26,"(F3)","Agg Fleeing and Eluding",0,343
"372",30,2,0,0,26,"(F3)","Agg Fleeing and Eluding",0,2178
"373",27,0,0,0,6,"(F3)","Grand Theft In The 3Rd Degree",0,1567
"374",27,0,0,0,6,"(F3)","Grand Theft In The 3Rd Degree",0,102
"375",21,0,0,0,0,"(F3)","Grand Theft in the 3rd Degree",1,1968
"376",35,0,0,0,5,"(F3)","arrest case no charge",0,124
"377",35,0,0,0,5,"(F3)","arrest case no charge",0,206
"378",35,0,0,0,5,"(F3)","arrest case no charge",0,827
"379",35,0,0,0,5,"(F3)","arrest case no charge",0,793
"380",26,0,0,0,5,"(F2)","Burglary Dwelling Occupied",1,225
"381",23,0,1,0,4,"(F7)","arrest case no charge",1,1366
"382",23,1,0,2,2,"(F3)","arrest case no charge",1,485
"383",23,1,0,2,2,"(F3)","arrest case no charge",1,348
"384",27,0,0,0,15,"(MO3)","Resisting W/O Violence",0,723
"385",27,0,0,0,6,"(F3)","Possession of Cocaine",1,3842
"386",49,0,0,0,25,"(F3)","Felony Petit Theft",1,283
"387",49,0,0,0,25,"(F3)","Felony Petit Theft",1,1553
"388",49,0,0,0,25,"(F3)","Felony Petit Theft",1,547
"389",49,0,0,0,25,"(F3)","Felony Petit Theft",1,419
"390",39,0,0,0,1,"(F3)","Possession of Morphine",0,1433
"391",50,0,0,0,1,"(M2)","Prowling/Loitering",1,1727
"392",53,0,0,0,17,"(F3)","Felony Battery",0,591
"393",53,0,0,0,17,"(F3)","Felony Battery",0,351
"394",53,0,0,0,17,"(F3)","Felony Battery",0,510
"395",53,0,0,0,17,"(F3)","Felony Battery",0,328
"396",53,0,0,0,17,"(F3)","Felony Battery",0,151
"397",53,0,0,0,17,"(F3)","Felony Battery",0,898
"398",53,0,0,0,17,"(F3)","Felony Battery",0,508
"399",53,0,0,0,17,"(F3)","Felony Battery",0,1663
"400",47,0,0,0,5,"(F3)","arrest case no charge",0,1081
"401",47,0,0,0,5,"(F3)","arrest case no charge",0,69
"402",40,1,0,0,15,"(F3)","arrest case no charge",0,112
"403",40,1,0,0,15,"(F3)","arrest case no charge",0,430
"404",69,0,0,0,6,"(M2)","Driving License Suspended",1,1075
"405",32,0,0,0,6,"(F3)","Attempted Burg/Convey/Unocc",1,1714
"406",34,0,0,0,5,"(F3)","Possession of Cocaine",0,1209
"407",26,0,0,0,0,"(F3)","Possession Of Heroin",0,142
"408",26,0,0,0,9,"(F3)","Possession Of Heroin",0,1735
"409",27,0,0,0,8,"(F3)","Felony Battery (Dom Strang)",1,1555
"410",40,0,0,0,13,"(F3)","Possession of Cocaine",1,530
"411",40,0,0,0,13,"(F3)","Possession of Cocaine",1,212
"412",40,0,0,0,13,"(F3)","Possession of Cocaine",1,276
"413",40,0,0,0,13,"(F3)","Possession of Cocaine",1,662
"414",40,0,0,0,13,"(F3)","Possession of Cocaine",1,276
"415",47,0,0,0,3,"(F3)","arrest case no charge",1,306
"416",26,0,0,1,1,"(F1)","arrest case no charge",1,342
"417",26,0,0,1,1,"(F1)","arrest case no charge",1,1938
"418",34,0,0,0,12,"(F2)","Deliver Cocaine",1,695
"419",47,0,1,1,21,"(M1)","Battery",1,135
"420",47,0,1,1,21,"(M1)","Battery",1,680
"421",47,0,1,1,21,"(M1)","Battery",1,282
"422",47,0,1,1,21,"(M1)","Battery",1,118
